traj,em_collapsed,em_step,em_type,lam_collapsed,lam_step,lam_type
264,0,-1,0,0,-1,0
265,0,-1,0,0,-1,0
266,0,-1,0,0,-1,0
267,0,-1,0,0,-1,0
268,1,268,1,1,269,1
269,0,-1,0,0,-1,0
270,0,-1,0,0,-1,0
271,0,-1,0,0,-1,0
272,0,-1,0,0,-1,0
273,1,275,1,1,276,1
274,0,-1,0,0,-1,0
275,0,-1,0,0,-1,0
276,1,285,1,1,290,3
277,0,-1,0,0,-1,0
278,1,336,1,1,338,1
279,0,-1,0,0,-1,0
280,1,276,1,1,278,3
281,0,-1,0,0,-1,0
282,1,298,1,1,304,1
283,1,290,1,1,292,1
284,1,311,3,1,313,3
285,1,280,1,1,283,1
286,0,-1,0,0,-1,0
287,0,-1,0,0,-1,0
288,1,272,1,1,270,1
289,1,275,1,1,278,1
290,1,298,1,1,305,1
291,0,-1,0,0,-1,0
292,0,-1,0,0,-1,0
293,0,-1,0,0,-1,0
294,0,-1,0,0,-1,0
295,0,-1,0,0,-1,0
296,0,-1,0,0,-1,0
297,0,-1,0,0,-1,0
298,0,-1,0,0,-1,0
299,0,-1,0,0,-1,0
300,0,-1,0,0,-1,0
301,0,-1,0,0,-1,0
302,0,-1,0,0,-1,0
303,0,-1,0,0,-1,0
304,0,-1,0,0,-1,0
305,0,-1,0,0,-1,0
306,0,-1,0,0,-1,0
307,0,-1,0,0,-1,0
308,0,-1,0,0,-1,0
309,0,-1,0,0,-1,0
310,0,-1,0,0,-1,0
311,1,284,1,1,284,1
312,0,-1,0,0,-1,0
313,0,-1,0,0,-1,0
314,0,-1,0,0,-1,0
315,0,-1,0,0,-1,0
316,0,-1,0,0,-1,0
317,0,-1,0,0,-1,0
318,0,-1,0,0,-1,0
319,0,-1,0,0,-1,0
320,0,-1,0,0,-1,0
321,0,-1,0,0,-1,0
322,1,285,3,1,288,3
323,1,288,1,1,293,3
324,0,-1,0,0,-1,0
325,0,-1,0,0,-1,0
326,0,-1,0,0,-1,0
327,0,-1,0,0,-1,0
328,1,297,1,1,295,1
329,1,298,1,1,311,3
330,1,288,1,1,289,1
331,0,-1,0,0,-1,0
332,0,-1,0,0,-1,0
333,1,351,3,1,359,3
334,0,-1,0,0,-1,0
335,0,-1,0,0,-1,0
336,0,-1,0,0,-1,0
337,0,-1,0,0,-1,0
338,1,326,1,1,325,1
339,0,-1,0,0,-1,0
340,0,-1,0,0,-1,0
341,0,-1,0,0,-1,0
342,0,-1,0,0,-1,0
343,0,-1,0,0,-1,0
344,0,-1,0,0,-1,0
345,0,-1,0,0,-1,0
346,0,-1,0,0,-1,0
347,1,277,1,1,279,3
348,0,-1,0,0,-1,0
349,1,288,1,1,284,1
350,0,-1,0,0,-1,0
351,0,-1,0,0,-1,0
352,0,-1,0,0,-1,0
353,0,-1,0,0,-1,0
354,1,278,1,1,285,1
355,1,338,1,1,340,3
356,0,-1,0,0,-1,0
357,1,269,1,0,-1,0
358,0,-1,0,0,-1,0
359,0,-1,0,0,-1,0
360,1,283,1,1,283,1
361,0,-1,0,0,-1,0
362,0,-1,0,0,-1,0
363,0,-1,0,0,-1,0
364,0,-1,0,0,-1,0
365,1,281,3,1,280,3
366,0,-1,0,0,-1,0
367,0,-1,0,0,-1,0
368,1,282,1,1,287,1
369,1,273,1,1,275,1
370,1,310,3,1,312,3
371,0,-1,0,0,-1,0
372,0,-1,0,0,-1,0
373,0,-1,0,0,-1,0
374,0,-1,0,0,-1,0
375,1,284,1,1,285,1
376,0,-1,0,0,-1,0
377,1,291,1,1,293,1
378,0,-1,0,0,-1,0
379,0,-1,0,0,-1,0
380,0,-1,0,0,-1,0
381,1,319,1,1,369,1
382,0,-1,0,0,-1,0
383,0,-1,0,0,-1,0
384,1,315,1,1,329,1
385,0,-1,0,0,-1,0
386,0,-1,0,0,-1,0
387,0,-1,0,0,-1,0
388,0,-1,0,0,-1,0
389,1,383,1,1,370,1
390,0,-1,0,0,-1,0
391,0,-1,0,0,-1,0
392,0,-1,0,0,-1,0
393,0,-1,0,0,-1,0
394,0,-1,0,0,-1,0
395,0,-1,0,0,-1,0
396,0,-1,0,0,-1,0
397,1,319,1,1,308,1
398,0,-1,0,0,-1,0
399,0,-1,0,0,-1,0
