Date,n_sectors,rho,sigma_single,sigma_port,DB,DB_theory,DB_max,NFCI,VIX
2018-04-24,10,0.6878752262029008,0.2215873693624038,0.19100597667080196,1.160106993637737,1.1792586453419631,3.1622776601683795,-0.525,18.020000457763672
2018-04-25,10,0.6873032282803841,0.22109424647709505,0.1906235309324651,1.1598476085065554,1.179680990416034,3.1622776601683795,-0.525,17.84000015258789
2018-04-26,10,0.689236597209503,0.2214661857205301,0.19102601310880235,1.1593509287888975,1.1782552740676298,3.1622776601683795,-0.525,16.239999771118164
2018-04-27,10,0.692419748241711,0.22109711418388175,0.19101147777079872,1.1575069559389715,1.1759191557677322,3.1622776601683795,-0.539,15.40999984741211
2018-04-30,10,0.6984672191054417,0.22050572110111435,0.19135613876116203,1.1523315767587414,1.1715189225549438,3.1622776601683795,-0.539,15.93000030517578
2018-05-01,10,0.6912087058198051,0.21637216118282152,0.18699786589056194,1.157083585699585,1.1768063026190552,3.1622776601683795,-0.539,15.489999771118164
2018-05-02,10,0.6500176131092548,0.2021311596867238,0.17026646464465606,1.187146042578431,1.2082302067254858,3.1622776601683795,-0.539,15.970000267028809
2018-05-03,10,0.6603796163941333,0.19852542006722512,0.16795610471491307,1.1820077656849692,1.200088820152223,3.1622776601683795,-0.539,15.899999618530272
2018-05-04,10,0.6644314980279692,0.19941960980537532,0.16921500908099346,1.17849835477611,1.1969497368076294,3.1622776601683795,-0.551,14.770000457763672
2018-05-07,10,0.6259377141372445,0.18656827559741312,0.1542331318580146,1.209651086960783,1.227808444826107,3.1622776601683795,-0.551,14.75
2018-05-08,10,0.6157373572632602,0.18500935431944968,0.1519069498811753,1.2179123763867798,1.2363937626424812,3.1622776601683795,-0.551,14.710000038146973
2018-05-09,10,0.6094711297992066,0.18430636352573346,0.15063799294119776,1.2235051724147592,1.2417580040259018,3.1622776601683795,-0.551,13.420000076293944
2018-05-10,10,0.6135359942356655,0.18507159651574911,0.15160466416646412,1.220751337257921,1.238270322672813,3.1622776601683795,-0.551,13.229999542236328
2018-05-11,10,0.6186912116413158,0.1833019571117323,0.1505250767601717,1.2177502982030248,1.2338890911835816,3.1622776601683795,-0.56,12.649999618530272
2018-05-14,10,0.6143350034725086,0.18138043582022972,0.14878455053452735,1.2190811154020866,1.237588216872587,3.1622776601683795,-0.56,12.93000030517578
2018-05-15,10,0.6160802457604626,0.18194133647741992,0.14937226034126097,1.2180396551658959,1.2361022333344576,3.1622776601683795,-0.56,14.630000114440918
2018-05-16,10,0.6128912135767975,0.18109017186479653,0.14857246265583002,1.2188676732396515,1.2388215882172464,3.1622776601683795,-0.56,13.420000076293944
