xi,target,J,h_eff_star,h0_star_pred_window,h0_star_pred_equil
0.35,0.1,4.24,0.6294597701781904,3.147298850890952,0.08992282431117006
0.35,0.1,4.25,0.6308185337311175,3.1540926686555872,0.09011693339015965
0.35,0.1,4.26,0.6321740002715471,3.1608700013577353,0.09031057146736388
0.35,0.1,4.27,0.6335261912116453,3.1676309560582263,0.09050374160166362
0.35,0.1,4.28,0.634875127729971,3.1743756386498547,0.09069644681856728
0.35,0.1,4.29,0.6362208307750452,3.181104153875226,0.09088869011072075
0.35,0.1,4.3,0.6375633210683517,3.1878166053417583,0.09108047443833596
0.35,0.1,4.31,0.6389026191097679,3.194513095548839,0.09127180272996684
0.35,0.1,4.32,0.640238745177931,3.201193725889655,0.09146267788256157
0.35,0.1,4.33,0.6415717193355348,3.207858596677674,0.09165310276221926
0.35,0.1,4.34,0.64290156143207,3.21450780716035,0.09184308020458143
0.35,0.1,4.35,0.644228291106995,3.221141455534975,0.092032613015285
0.35,0.1,4.36,0.6455519277928515,3.2277596389642573,0.09222170397040737
0.35,0.1,4.37,0.6468724907183183,3.2343624535915914,0.09241035581690261
0.35,0.1,4.38,0.648189998911208,3.24094999455604,0.09259857127302971
0.35,0.1,4.39,0.6495044712014066,3.247522356007033,0.09278635302877238
0.35,0.1,4.4,0.6508159262237595,3.254079631118797,0.09297370374625136
0.35,0.1,4.41,0.6521243824209007,3.260621912104503,0.09316062606012866
0.35,0.1,4.42,0.6534298580460327,3.2671492902301633,0.09334712257800468
0.35,0.1,4.43,0.6547323711656532,3.2736618558282657,0.09353319588080759
0.35,0.1,4.44,0.6560319396622303,3.2801596983111514,0.09371884852317576
0.35,0.1,4.45,0.6573285812368304,3.286642906184152,0.09390408303383291
0.35,0.1,4.46,0.6586223134116976,3.293111567058488,0.0940889019159568
0.35,0.1,4.47,0.6599131535327867,3.299565767663933,0.09427330764754095
0.35,0.1,4.48,0.6612011187722464,3.306005593861232,0.09445730268174948
0.35,0.1,4.49,0.6624862261308615,3.3124311306543075,0.09464088944726592
0.35,0.1,4.5,0.6637684924404514,3.318842462202257,0.09482407034863592
0.35,0.1,4.51,0.6650479343662223,3.3252396718311115,0.09500684776660319
0.35,0.1,4.52,0.6663245684090806,3.331622842045403,0.09518922405844009
0.35,0.1,4.53,0.6675984109079028,3.337992054539514,0.09537120155827183
0.35,0.1,4.54,0.6688694780417667,3.344347390208833,0.09555278257739523
0.35,0.1,4.55,0.6701377858321423,3.3506889291607114,0.09573396940459176
0.35,0.1,4.56,0.671403350145044,3.35701675072522,0.09591476430643486
0.35,0.1,4.57,0.6726661866931472,3.3633309334657358,0.09609516952759245
0.35,0.1,4.58,0.6739263110378629,3.3696315551893146,0.09627518729112328
0.35,0.1,4.59,0.6751837385913836,3.3759186929569176,0.09645481979876909
0.35,0.1,4.6,0.6764384846186868,3.382192423093434,0.09663406923124097
0.35,0.1,4.61,0.6776905642395082,3.388452821197541,0.09681293774850118
0.35,0.1,4.62,0.6789399924302784,3.3946999621513916,0.09699142749003976
0.35,0.1,4.63,0.68018678402603,3.4009339201301496,0.09716954057514714
0.35,0.1,4.64,0.6814309537222674,3.4071547686113366,0.09734727910318106
0.35,0.1,4.65,0.6826725160768083,3.4133625803840415,0.09752464515382976
0.35,0.1,4.66,0.6839114855115936,3.419557427557968,0.09770164078737052
0.35,0.1,4.67,0.6851478763144647,3.4257393815723236,0.09787826804492353
0.35,0.1,4.68,0.6863817026409138,3.431908513204569,0.09805452894870197
0.35,0.1,4.69,0.6876129785158032,3.438064892579016,0.09823042550225759
0.35,0.1,4.7,0.6888417178350555,3.4442085891752776,0.09840595969072222
0.35,0.1,4.71,0.6900679343673173,3.4503396718365864,0.09858113348104533
0.35,0.1,4.72,0.6912916417555938,3.4564582087779687,0.09875594882222768
0.35,0.1,4.73,0.6925128535188584,3.4625642675942916,0.0989304076455512
0.35,0.1,4.74,0.6937315830536328,3.468657915268164,0.09910451186480469
0.35,0.1,4.75,0.6949478436355448,3.474739218177724,0.0992782633765064
0.35,0.1,4.76,0.6961616484208579,3.4808082421042896,0.09945166406012255
0.35,0.1,4.77,0.6973730104479767,3.4868650522398834,0.09962471577828239
0.35,0.1,4.78,0.6985819426389303,3.492909713194651,0.09979742037699003
0.35,0.1,4.79,0.699788457800827,3.498942289004135,0.09996977968583243
0.35,0.1,4.8,0.7009925686272901,3.5049628431364503,0.10014179551818429
0.35,0.1,4.81,0.7021942876998692,3.5109714384993462,0.10031346967140989
0.35,0.1,4.82,0.7033936274894281,3.5169681374471407,0.10048480392706116
0.35,0.1,4.83,0.7045906003575101,3.5229530017875503,0.10065580005107287
0.35,0.1,4.84,0.7057852185576848,3.528926092788424,0.10082645979395498
0.35,0.1,4.85,0.7069774942368714,3.5348874711843568,0.10099678489098163
