J,summary,arm_lo,arm_hi,d_amp,d_amp_ci_lo,d_amp_ci_hi,amp_resolved,p_lo,p_hi,d_p,d_p_ci_lo,d_p_ci_hi,p_resolved,is_violation,violation_resolved
4.5,win_mean,passive,stress_a0.05,0.02546392719978463,0.023906753873275354,0.027115375969553015,True,0.288,0.274,-0.013999999999999957,-0.019499999999999962,-0.009000000000000008,True,False,False
4.5,win_mean,stress_a0.05,quadratic,0.33906753177390775,0.33663066116658635,0.3414100772072929,True,0.274,0.163,-0.11100000000000002,-0.12451250000000001,-0.097,True,False,False
4.5,win_mean,quadratic,stress_a2.0,0.022743696150878567,-0.000987468853917508,0.04760414243098121,False,0.163,0.0,-0.163,-0.1795,-0.147,True,False,False
4.5,win_mean,stress_a2.0,coupling_a0.7,1.0555309193138602,1.0290252319177435,1.0808654312641857,True,0.0,0.019,0.019,0.0135,0.025,True,True,True
4.5,cond_m_neg,passive,stress_a0.05,0.06595478855448017,0.06360407656605739,0.06833399992094123,True,0.288,0.274,-0.013999999999999957,-0.019499999999999962,-0.009000000000000008,True,False,False
4.5,cond_m_neg,stress_a0.05,quadratic,0.27102561088008026,0.2680323219100559,0.27393998590485474,True,0.274,0.163,-0.11100000000000002,-0.12451250000000001,-0.097,True,False,False
4.5,cond_m_neg,quadratic,coupling_a0.7,0.9833109656640358,0.9798402958679037,0.9866795024627236,True,0.163,0.019,-0.14400000000000002,-0.15999999999999998,-0.129,True,False,False
4.5,cond_m_neg,coupling_a0.7,stress_a2.0,0.017652781821556385,-0.02314856063825733,0.05886165602974656,False,0.019,0.0,-0.019,-0.025,-0.0135,True,False,False
4.5,cond_m_neg_collapsers,passive,stress_a0.05,0.08514523621147468,0.08205190109437922,0.0882303797804799,True,0.288,0.274,-0.013999999999999957,-0.019499999999999962,-0.009000000000000008,True,False,False
4.5,cond_m_neg_collapsers,stress_a0.05,quadratic,0.24615740476316794,0.24162108997226425,0.2507585142568692,True,0.274,0.163,-0.11100000000000002,-0.12451250000000001,-0.097,True,False,False
4.5,cond_m_neg_collapsers,quadratic,coupling_a0.7,0.9405134710613827,0.9213162288959483,0.9593569872754679,True,0.163,0.019,-0.14400000000000002,-0.15999999999999998,-0.129,True,False,False
4.5,amp_over_lam,passive,stress_a0.05,0.026588491840843553,0.024968696155753888,0.028315744405272878,True,0.288,0.274,-0.013999999999999957,-0.019499999999999962,-0.009000000000000008,True,False,False
4.5,amp_over_lam,stress_a0.05,quadratic,0.46137357040486005,0.45743975100691875,0.4651251614119606,True,0.274,0.163,-0.11100000000000002,-0.12451250000000001,-0.097,True,False,False
4.5,amp_over_lam,quadratic,stress_a2.0,0.041325797933751796,-0.0017583592580439472,0.08826131819923018,False,0.163,0.0,-0.163,-0.1795,-0.147,True,False,False
4.5,amp_over_lam,stress_a2.0,coupling_a0.7,58.006776027045326,52.98299749329271,63.734533483741885,True,0.0,0.019,0.019,0.0135,0.025,True,True,True
5.0,full_mean,passive,stress_a0.05,0.31815285633907564,0.2563364354660319,0.385320469701664,True,0.2995,0.2865,-0.013000000000000012,-0.018000000000000016,-0.008499999999999952,True,False,False
5.0,full_mean,stress_a0.05,stress_a2.0,1.310233667562045,1.1870004565762604,1.4376407104962055,True,0.2865,0.0,-0.2865,-0.3065,-0.267,True,False,False
5.0,full_mean,stress_a2.0,quadratic,11.47818870337848,11.253180854675879,11.698351041763889,True,0.0,0.157,0.157,0.1415,0.173,True,True,True
5.0,full_mean,quadratic,coupling_a0.7,34.13003118475063,33.901980277732434,34.36301127222337,True,0.157,0.0235,-0.1335,-0.14800000000000002,-0.119,True,False,False
