window_end,rho_bar,DB,max_drawdown_pct,drawdown_corr,tail_5,tail_3,tail_10,J,decile
2021-05-14,0.4597888017796727,1.4064531460998093,-0.21280137126248477,,1,1,1,0.8511278612779627,0
2021-05-15,0.4623536209946375,1.4034835584881968,-0.21280137126248477,,1,1,1,0.8599585881150814,0
2021-05-16,0.4615954011885858,1.4055062490066834,-0.21280137126248477,,1,1,1,0.8573392616029043,0
2021-05-17,0.47000342272232376,1.3963406447914732,-0.21280137126248477,,1,1,1,0.8868046377516117,0
2021-05-18,0.4733216499858559,1.395689896655525,-0.21280137126248477,,1,1,1,0.8986920574448233,0
2021-05-19,0.6623197381547461,1.2057194152099016,-0.3766288233189763,0.8680190866955665,1,1,1,1.9613812620716997,3
2021-05-20,0.6748792720049879,1.1978525627525092,-0.3766288233189763,0.8680190866955665,1,1,1,2.0757805144166066,3
2021-05-21,0.6933620159741712,1.1832146312194785,-0.38599191712758973,0.8832302437028621,1,1,1,2.2611745840194666,4
2021-05-22,0.6956626884341369,1.181327674657416,-0.43998834346065274,0.8707560636921754,1,1,1,2.2858278035474635,4
2021-05-23,0.7063989948496495,1.173910155118998,-0.5158040710621524,0.8728592367747956,1,1,1,2.405982889901582,4
2021-05-24,0.730945374296618,1.1551797634718852,-0.5158040710621524,0.8728592367747956,1,1,1,2.7167173669128633,6
2021-05-25,0.7272295281144502,1.1578340180757403,-0.5158040710621524,0.8728592367747956,1,1,1,2.666085969963729,5
2021-05-26,0.7311005806786863,1.1548239090348698,-0.5158040710621524,0.8728592367747956,1,1,1,2.718862623519014,6
2021-05-27,0.732612502832413,1.153532705791328,-0.5158040710621524,0.8728592367747956,1,1,1,2.7398906478160527,6
2021-05-28,0.7376945509975719,1.150288174352124,-0.5158040710621524,0.8728592367747956,1,1,1,2.812349319478846,6
2021-05-29,0.7409730129438379,1.1479546989083682,-0.5158040710621524,0.8728592367747956,1,1,1,2.8606015974049086,6
2021-05-30,0.7432368555444963,1.1464387142991428,-0.5158040710621523,0.8728592367747956,1,1,1,2.8946399496727495,6
2021-05-31,0.7495091775825569,1.141932821241376,-0.5158040710621524,0.8728592367747956,1,1,1,2.992162229135482,6
2021-06-01,0.7499306989427091,1.1418990365487005,-0.5158040710621524,0.8728592367747956,1,1,1,2.9988914903669044,6
2021-06-02,0.7519145003967598,1.1401195731469853,-0.5158040710621524,0.8728592367747956,1,1,1,3.0308683965781413,6
2021-06-03,0.751936706694506,1.1404881402162867,-0.5158040710621524,0.8728592367747956,1,1,1,3.0312292345828187,6
