J,mu,seed,collapsed,collapse_type,collapse_step,final_m,final_W,condition,alpha
0.5,30,38,1,2,397,0.21859789769386156,0.0,active_coupling,1.0
0.5,30,39,1,2,343,0.214780883512102,0.0,active_coupling,1.0
0.5,30,40,1,2,333,-0.2514026245930174,0.0,active_coupling,1.0
0.5,30,41,1,2,331,0.04505188601222107,0.0,active_coupling,1.0
0.5,30,42,1,3,350,-0.17722984454930416,0.0,active_coupling,1.0
0.5,30,43,1,3,354,0.13628813101273782,0.0,active_coupling,1.0
0.5,30,44,1,2,365,0.30580223095583614,0.0,active_coupling,1.0
0.5,30,45,1,2,355,0.03660669544908982,0.0,active_coupling,1.0
0.5,30,46,1,2,356,0.2097714681110752,0.0,active_coupling,1.0
0.5,30,47,1,3,319,0.18203637071723974,0.0,active_coupling,1.0
0.5,30,48,1,3,310,-0.5680477718875698,0.0,active_coupling,1.0
0.5,30,49,1,2,401,0.020460740464437806,0.0,active_coupling,1.0
0.5,30,50,1,2,324,0.6002932758372508,0.0,active_coupling,1.0
0.5,30,51,1,2,322,-0.17413160190323126,0.0,active_coupling,1.0
0.5,30,52,1,3,369,-0.38471205133453956,0.0,active_coupling,1.0
0.5,30,53,1,3,287,-0.13655674278846086,0.0,active_coupling,1.0
0.5,30,54,1,2,339,0.22232118987795974,0.0,active_coupling,1.0
0.5,30,55,1,3,298,-0.03605082015510111,0.0,active_coupling,1.0
0.5,30,56,1,3,281,0.09906041741498647,0.0,active_coupling,1.0
0.5,30,57,1,3,314,-0.09989196138423564,0.0,active_coupling,1.0
0.5,30,58,1,3,331,-0.015292693914470273,0.0,active_coupling,1.0
0.5,30,59,1,3,362,0.7256970911314347,0.0,active_coupling,1.0
0.5,30,60,1,2,381,0.34011274466602076,0.0,active_coupling,1.0
0.5,30,61,1,2,334,0.34037261278195946,0.0,active_coupling,1.0
0.5,30,62,1,2,329,-0.5259518095440254,0.0,active_coupling,1.0
0.5,30,63,1,2,356,-0.6968063284148703,0.0,active_coupling,1.0
0.5,30,64,1,2,332,0.7532454575328522,0.0,active_coupling,1.0
0.5,30,65,1,2,326,0.26369605219493975,0.0,active_coupling,1.0
0.5,30,66,1,3,286,-0.2482560886458331,0.0,active_coupling,1.0
0.5,30,67,1,3,315,-0.25731358545911504,0.0,active_coupling,1.0
0.5,30,68,1,2,354,-0.20504708631009635,0.0,active_coupling,1.0
0.5,30,69,1,2,302,0.22771701667598782,0.0,active_coupling,1.0
0.5,30,70,1,3,311,-0.22990573112996995,0.0,active_coupling,1.0
0.5,30,71,1,3,371,0.6161765203622269,0.0,active_coupling,1.0
0.5,30,72,1,3,316,0.5780243499783763,0.0,active_coupling,1.0
0.5,30,73,1,3,327,-0.18224115672942826,0.0,active_coupling,1.0
