J,mu,seed,collapsed,collapse_type,collapse_step,final_m,final_W,condition,alpha
0.5,30,55,1,3,301,-0.024041387359068467,0.0,active_stress,2.0
0.5,30,56,1,2,285,0.15925652574842505,0.0,active_stress,2.0
0.5,30,57,1,3,313,-0.03803979925470882,0.0,active_stress,2.0
0.5,30,58,1,3,319,0.012714411708497755,0.0,active_stress,2.0
0.5,30,59,1,3,355,0.7325315442313172,0.0,active_stress,2.0
0.5,30,60,1,3,375,0.3496274955104071,0.0,active_stress,2.0
0.5,30,61,1,2,329,0.36189909367149264,0.0,active_stress,2.0
0.5,30,62,1,2,324,-0.2957771258765525,0.0,active_stress,2.0
0.5,30,63,1,2,350,-0.5349044147560577,0.0,active_stress,2.0
0.5,30,64,1,2,329,0.7545875156939045,0.0,active_stress,2.0
0.5,30,65,1,2,323,0.2737046257070338,0.0,active_stress,2.0
0.5,30,66,1,3,289,-0.13303808435993678,0.0,active_stress,2.0
0.5,30,67,1,3,313,-0.1640879824252518,0.0,active_stress,2.0
0.5,30,68,1,2,347,-0.17184543285363973,0.0,active_stress,2.0
0.5,30,69,1,2,302,0.2471622510199244,0.0,active_stress,2.0
0.5,30,70,1,3,310,-0.20176384266968672,0.0,active_stress,2.0
0.5,30,71,1,2,361,0.6161765203622269,0.0,active_stress,2.0
0.5,30,72,1,2,313,0.5986794974782355,0.0,active_stress,2.0
0.5,30,73,1,3,324,-0.1503958315485111,0.0,active_stress,2.0
0.5,30,74,1,2,327,0.2996059606891014,0.0,active_stress,2.0
0.5,30,75,1,2,305,0.1999703221642491,0.0,active_stress,2.0
0.5,30,76,1,3,300,-0.27666784583846954,0.0,active_stress,2.0
0.5,30,77,1,2,333,0.12255776164181789,0.0,active_stress,2.0
0.5,30,78,1,2,426,0.3576772911455471,0.0,active_stress,2.0
0.5,30,79,1,3,329,0.4655628132690579,0.0,active_stress,2.0
0.5,30,80,1,2,312,-0.39917534015941686,0.0,active_stress,2.0
0.5,30,81,1,3,320,0.4831011126329089,0.0,active_stress,2.0
0.5,30,82,1,2,361,0.3618049719107598,0.0,active_stress,2.0
0.5,30,83,1,3,344,-0.023896316423365843,0.0,active_stress,2.0
0.5,30,84,1,2,376,-0.09083757574616455,0.0,active_stress,2.0
0.5,30,85,1,2,345,0.14048775074825792,0.0,active_stress,2.0
0.5,30,86,1,3,344,0.408562450115987,0.0,active_stress,2.0
0.5,30,87,1,3,296,0.04470641404015152,0.0,active_stress,2.0
0.5,30,88,1,2,311,0.40286814284737305,0.0,active_stress,2.0
0.5,30,89,1,3,352,0.3753892135188787,0.0,active_stress,2.0
0.5,30,90,1,2,333,-0.2681754584320684,0.0,active_stress,2.0
0.5,30,91,1,2,336,0.5655882334812781,0.0,active_stress,2.0
0.5,30,92,1,2,364,0.5069857652675868,0.0,active_stress,2.0
0.5,30,93,1,2,335,-0.17278608663830308,0.0,active_stress,2.0
0.5,30,94,1,3,366,0.7544470055958663,0.0,active_stress,2.0
0.5,30,95,1,2,316,0.08438987073606341,0.0,active_stress,2.0
0.5,30,96,1,2,357,0.11906184226375922,0.0,active_stress,2.0
0.5,30,97,1,2,377,-0.15333324440110208,0.0,active_stress,2.0
0.5,30,98,1,2,282,0.12446161200497735,0.0,active_stress,2.0
0.5,30,99,1,2,330,-0.10710892828743762,0.0,active_stress,2.0
0.5,40,0,1,3,427,0.24823118340335942,0.0,active_stress,2.0
0.5,40,1,1,2,448,-0.056208252618227234,0.0,active_stress,2.0
0.5,40,2,1,3,353,0.0453210149241773,0.0,active_stress,2.0
0.5,40,3,1,2,512,0.13974648388229677,0.0,active_stress,2.0
0.5,40,4,1,3,358,0.028519031252398436,0.0,active_stress,2.0
0.5,40,5,1,2,368,0.45934666388742057,1.7796229951806468,active_stress,2.0
0.5,40,6,1,3,583,0.16064521245052213,0.0,active_stress,2.0
0.5,40,7,1,3,348,0.31249797749377206,4.179109013434623,active_stress,2.0
0.5,40,8,1,2,688,-0.2488909726275334,0.0,active_stress,2.0
0.5,40,9,1,2,494,0.68953468698308,3.343943214148419,active_stress,2.0
0.5,40,10,1,3,768,-0.2676453411082573,0.0,active_stress,2.0
0.5,40,11,1,2,319,0.5169227291502745,0.016922729150274485,active_stress,2.0
0.5,40,12,1,2,388,0.49506472731518947,3.0437533025865453,active_stress,2.0
0.5,40,13,1,2,376,-0.07912937909501902,0.0,active_stress,2.0
0.5,40,14,1,2,622,0.45313729841935785,0.007374427374992734,active_stress,2.0
0.5,40,15,1,2,406,-0.30356012874733146,0.0,active_stress,2.0
0.5,40,16,1,2,576,0.3243885102795714,1.1669108635916343,active_stress,2.0
0.5,40,17,1,3,545,-0.42649361715184575,0.0,active_stress,2.0
0.5,40,18,1,2,359,0.44010023853526536,0.0,active_stress,2.0
0.5,40,19,1,3,358,0.10424517781803957,0.0,active_stress,2.0
0.5,40,20,1,2,408,-0.46218234821600324,0.0,active_stress,2.0
0.5,40,21,1,3,604,-0.2657079828168006,0.0,active_stress,2.0
0.5,40,22,1,2,410,0.3675706440408534,0.0,active_stress,2.0
0.5,40,23,1,3,432,-0.05651787594556581,0.0,active_stress,2.0
0.5,40,24,1,2,402,-0.37327387049509086,0.0,active_stress,2.0
0.5,40,25,1,3,363,-0.25145773660207077,0.0,active_stress,2.0
0.5,40,26,1,2,497,-0.3996316479508826,0.0,active_stress,2.0
0.5,40,27,1,2,316,-0.3690908623736119,0.0,active_stress,2.0
0.5,40,28,1,2,404,0.1905676315218524,2.392423351330043,active_stress,2.0
0.5,40,29,1,2,324,0.12584503455155618,0.0,active_stress,2.0
0.5,40,30,1,3,447,-0.11512897055466706,0.0,active_stress,2.0
0.5,40,31,1,2,569,-0.5245888589430715,0.0,active_stress,2.0
0.5,40,32,1,3,338,0.2933703956043766,0.0,active_stress,2.0
0.5,40,33,1,3,393,-0.46672395538029215,0.0,active_stress,2.0
0.5,40,34,1,2,393,0.6870619566769336,0.8312395019038366,active_stress,2.0
0.5,40,35,1,3,503,0.2153496892148723,0.0,active_stress,2.0
0.5,40,36,1,3,415,0.4740899020385632,0.0,active_stress,2.0
0.5,40,37,1,3,433,-0.13584211843475322,0.0,active_stress,2.0
0.5,40,38,1,2,427,-0.11907802627052849,0.0,active_stress,2.0
0.5,40,39,1,2,465,0.26898935861462575,0.0,active_stress,2.0
0.5,40,40,1,3,384,-0.5466557240790265,0.0,active_stress,2.0
0.5,40,41,1,2,392,0.14074313285031856,0.0,active_stress,2.0
0.5,40,42,1,3,408,0.4367851278478892,2.9193582378942744,active_stress,2.0
0.5,40,43,1,2,402,-0.10685740021859377,0.0,active_stress,2.0
0.5,40,44,1,2,557,0.381016312235974,0.0,active_stress,2.0
0.5,40,45,1,2,438,-0.3615434454020283,0.0,active_stress,2.0
0.5,40,46,1,2,346,-0.5267396497829457,0.0,active_stress,2.0
0.5,40,47,1,2,426,-0.06876053719834738,0.0,active_stress,2.0
0.5,40,48,1,3,358,-0.37618245081002305,0.0,active_stress,2.0
0.5,40,49,1,3,343,0.05075737843127001,0.0,active_stress,2.0
0.5,40,50,1,3,463,-0.452042502359127,0.0,active_stress,2.0
0.5,40,51,1,3,434,0.2630649777510446,0.0,active_stress,2.0
0.5,40,52,1,2,423,0.4260212758916786,0.0,active_stress,2.0
0.5,40,53,1,2,432,0.07721532624686192,0.0,active_stress,2.0
0.5,40,54,1,2,321,0.058524945398554074,0.0,active_stress,2.0
0.5,40,55,1,2,348,0.13071634075711236,0.0,active_stress,2.0
0.5,40,56,1,2,738,-0.23107046283951416,0.0,active_stress,2.0
0.5,40,57,1,3,393,-0.5414813227777004,0.0,active_stress,2.0
0.5,40,58,1,2,366,0.04017260541666543,0.0,active_stress,2.0
0.5,40,59,1,2,342,0.33510423389528277,0.0,active_stress,2.0
0.5,40,60,1,3,387,0.3576642800858514,0.0,active_stress,2.0
0.5,40,61,1,2,621,-0.27926086502648195,0.0,active_stress,2.0
0.5,40,62,1,2,312,-0.7217689793758397,0.0,active_stress,2.0
0.5,40,63,1,2,400,-0.3455058782323967,0.0,active_stress,2.0
0.5,40,64,1,2,333,-0.044438426488526375,0.0,active_stress,2.0
0.5,40,65,1,2,410,-0.2479500169295446,0.0,active_stress,2.0
0.5,40,66,1,3,531,-0.1781444823285635,0.0,active_stress,2.0
0.5,40,67,1,3,363,0.29369391245600884,0.0,active_stress,2.0
0.5,40,68,1,3,574,-0.11177351052584505,0.0,active_stress,2.0
0.5,40,69,1,3,544,-0.18145603988423717,0.0,active_stress,2.0
0.5,40,70,1,3,407,0.747195599777516,2.994889433251978,active_stress,2.0
0.5,40,71,1,2,494,0.06123371540506829,0.0,active_stress,2.0
0.5,40,72,1,2,481,0.8032102497146564,4.592376941837668,active_stress,2.0
0.5,40,73,1,2,546,0.08962370716273933,0.0,active_stress,2.0
0.5,40,74,1,2,557,0.16542895482049758,0.0,active_stress,2.0
0.5,40,75,1,2,780,0.024649591081639517,0.0,active_stress,2.0
0.5,40,76,1,3,380,-0.005081729554101487,0.0,active_stress,2.0
0.5,40,77,1,2,463,-0.2935829399044271,0.0,active_stress,2.0
0.5,40,78,1,2,369,0.15389671423547807,0.0,active_stress,2.0
0.5,40,79,1,3,594,-0.14931914459424847,0.0,active_stress,2.0
0.5,40,80,1,2,328,-0.2383839984116741,0.0,active_stress,2.0
0.5,40,81,1,2,446,-0.25875438823142577,0.0,active_stress,2.0
0.5,40,82,1,3,409,0.3408340439500735,2.186954317514974,active_stress,2.0
0.5,40,83,1,3,403,-0.19999571660742033,0.0,active_stress,2.0
0.5,40,84,1,2,535,0.13943589798718925,0.0,active_stress,2.0
0.5,40,85,1,3,476,0.4396847214925795,0.0,active_stress,2.0
0.5,40,86,1,3,594,0.22983361384044382,0.0,active_stress,2.0
0.5,40,87,1,2,422,0.324471052202255,0.0,active_stress,2.0
0.5,40,88,1,2,436,-0.21455739129454016,0.0,active_stress,2.0
0.5,40,89,1,3,689,-0.5289640880150583,0.0,active_stress,2.0
0.5,40,90,1,3,463,-0.22495485182669148,0.0,active_stress,2.0
0.5,40,91,1,2,437,0.17312444318699563,0.0,active_stress,2.0
0.5,40,92,1,2,383,0.18307771031344472,1.0944801662328996,active_stress,2.0
0.5,40,93,1,2,453,0.10376189344597866,0.0,active_stress,2.0
0.5,40,94,1,3,399,0.4675720690281517,0.0,active_stress,2.0
0.5,40,95,1,3,474,0.15103585113662787,0.0,active_stress,2.0
0.5,40,96,1,2,391,-0.24094096634309364,0.0,active_stress,2.0
0.5,40,97,1,2,326,0.38542092329745226,0.30711914140513513,active_stress,2.0
0.5,40,98,1,3,386,-0.18123950795152816,0.0,active_stress,2.0
0.5,40,99,1,3,609,-0.2882406327398648,0.0,active_stress,2.0
0.5,50,0,1,2,848,0.3504478849130335,0.26072390001671214,active_stress,2.0
0.5,50,1,1,3,1958,0.7480694416194256,18.551948308122448,active_stress,2.0
0.5,50,2,1,3,1005,0.69491840924939,908.3511630892049,active_stress,2.0
0.5,50,3,0,0,-1,0.8830886352452796,894.2408889240355,active_stress,2.0
0.5,50,4,0,0,-1,0.9428684008656455,881.6163213864462,active_stress,2.0
0.5,50,5,0,0,-1,0.9983628253963636,938.4344661231066,active_stress,2.0
0.5,50,6,0,0,-1,0.988090158044291,935.5432006242453,active_stress,2.0
0.5,50,7,0,0,-1,0.978172144351435,929.6766600439705,active_stress,2.0
0.5,50,8,1,3,1140,0.9986668479112611,932.7326552718471,active_stress,2.0
0.5,50,9,0,0,-1,0.999999,900.4128836180789,active_stress,2.0
0.5,50,10,1,2,2523,0.3656705732419785,59.56229402521569,active_stress,2.0
0.5,50,11,0,0,-1,0.999999,954.8164331317446,active_stress,2.0
0.5,50,12,1,2,724,0.996079953766217,939.7896490722558,active_stress,2.0
0.5,50,13,0,0,-1,0.3569981718305656,930.1744476372576,active_stress,2.0
0.5,50,14,0,0,-1,0.9984735773147296,941.5679754739982,active_stress,2.0
0.5,50,15,0,0,-1,0.9225599216055349,915.3223313814607,active_stress,2.0
0.5,50,16,0,0,-1,0.961635307689747,900.8810358797899,active_stress,2.0
0.5,50,17,1,3,1515,0.9377179057722366,950.6613508131721,active_stress,2.0
0.5,50,18,1,2,1174,0.9926446777396412,960.3626399862139,active_stress,2.0
0.5,50,19,1,3,561,0.9959054814759382,928.8176358643888,active_stress,2.0
0.5,50,20,0,0,-1,0.9970163169604357,912.8782866566207,active_stress,2.0
0.5,50,21,1,2,1050,0.999999,930.5740721425412,active_stress,2.0
0.5,50,22,0,0,-1,0.9984593942290149,944.3087332016247,active_stress,2.0
0.5,50,23,0,0,-1,0.8512341068944274,949.4020186316407,active_stress,2.0
0.5,50,24,1,3,955,0.999999,927.2964302481279,active_stress,2.0
0.5,50,25,1,2,730,0.9983416144611467,924.7931936047103,active_stress,2.0
0.5,50,26,1,2,718,0.9991574027420504,955.4748466904435,active_stress,2.0
0.5,50,27,1,2,1032,0.9337296926510751,870.3003044349628,active_stress,2.0
0.5,50,28,0,0,-1,0.9530260908958761,924.1558918614422,active_stress,2.0
0.5,50,29,1,2,871,0.9936942396058435,956.1919404618186,active_stress,2.0
0.5,50,30,1,3,1159,0.9693423615722299,953.532523422894,active_stress,2.0
0.5,50,31,0,0,-1,0.999999,943.271336229683,active_stress,2.0
0.5,50,32,0,0,-1,0.8943213479902432,937.8530187188301,active_stress,2.0
0.5,50,33,1,2,362,0.9277281959387568,913.4386402229784,active_stress,2.0
0.5,50,34,1,2,1018,0.956070792297672,952.4934997105073,active_stress,2.0
0.5,50,35,0,0,-1,0.999999,889.5401852824126,active_stress,2.0
0.5,50,36,0,0,-1,0.9987112714706687,939.2287358315209,active_stress,2.0
0.5,50,37,1,2,577,0.8332273800972732,951.1842957636612,active_stress,2.0
0.5,50,38,0,0,-1,0.9320118070820698,945.2379192262656,active_stress,2.0
0.5,50,39,0,0,-1,0.9955570804882912,897.0886432419435,active_stress,2.0
0.5,50,40,0,0,-1,0.9982560383650358,898.0164159018599,active_stress,2.0
0.5,50,41,0,0,-1,0.999999,935.4764812889982,active_stress,2.0
0.5,50,42,0,0,-1,0.9810312184739339,947.4547486197162,active_stress,2.0
0.5,50,43,1,2,694,0.9875187899921348,912.014990516361,active_stress,2.0
0.5,50,44,1,2,930,0.9811060555514042,917.0651613642086,active_stress,2.0
0.5,50,45,1,2,1535,0.7263322304294128,117.58998958666598,active_stress,2.0
0.5,50,46,0,0,-1,0.9865918241619038,940.3456080764543,active_stress,2.0
0.5,50,47,0,0,-1,0.952320637146079,908.7041494664419,active_stress,2.0
0.5,50,48,0,0,-1,0.6980862579765447,938.6665821133864,active_stress,2.0
