ramp_steps,mult,seed_idx,collapsed,collapse_step,collapse_J,collapse_type,final_m,final_wealth
1000,40,97,1,336,2.012,1,0.9997851806760221,481.88978064845713
1000,40,98,0,-1,,0,0.9990636336637782,489.06499796167043
1000,40,99,1,338,2.021,3,0.9980685881096201,466.22306909360225
1000,50,0,0,-1,,0,0.9999581848516229,973.6012036016643
1000,50,1,0,-1,,0,0.9999683885584323,990.9886728933501
1000,50,2,0,-1,,0,0.894374080277863,987.3465768119278
1000,50,3,0,-1,,0,0.999999,974.5509403085518
1000,50,4,0,-1,,0,0.999999,975.6661090549259
1000,50,5,0,-1,,0,0.9985736575422216,975.6409548645488
1000,50,6,0,-1,,0,0.9980633419396423,979.5324910318245
1000,50,7,1,649,3.4205,1,0.6770200784186997,938.110508633305
1000,50,8,1,395,2.2775,3,0.9999254188606039,987.8135505622126
1000,50,9,0,-1,,0,0.999999,990.9251597389047
1000,50,10,0,-1,,0,0.9861821893684853,974.6374804982581
1000,50,11,0,-1,,0,0.9998883262141312,985.9513863584549
1000,50,12,0,-1,,0,0.999816405092593,974.8275998021911
1000,50,13,0,-1,,0,0.9998375966401002,983.9213394356498
1000,50,14,0,-1,,0,0.9100194004396062,986.8457918712404
1000,50,15,0,-1,,0,0.999999,990.7829390236533
1000,50,16,0,-1,,0,0.9881308334546696,991.8399086269453
1000,50,17,0,-1,,0,0.999999,978.9394176841499
1000,50,18,0,-1,,0,0.9984231354574546,978.3754605893839
1000,50,19,0,-1,,0,0.8152445152483188,975.750638445931
1000,50,20,0,-1,,0,0.9150288374826164,981.9339817525872
1000,50,21,0,-1,,0,0.9987341680872528,976.6172423703131
1000,50,22,0,-1,,0,0.9983768159502072,981.5318899906151
1000,50,23,0,-1,,0,0.999999,990.1762548645606
1000,50,24,1,686,3.587,3,0.9999430619508494,986.7328659504109
1000,50,25,1,341,2.0345,3,0.999999,989.7160839424266
1000,50,26,0,-1,,0,0.9996809957026643,990.9375343099142
1000,50,27,0,-1,,0,0.9260518594647559,982.8548526572354
1000,50,28,0,-1,,0,0.9755790770644109,975.8429280309282
1000,50,29,0,-1,,0,0.9997370581964187,970.7044654596602
1000,50,30,0,-1,,0,0.999999,978.9250637561437
1000,50,31,0,-1,,0,0.999999,986.3688303762458
1000,50,32,0,-1,,0,0.999999,977.7334271015729
1000,50,33,1,548,2.966,3,0.9873818892978204,983.8981328807387
1000,50,34,0,-1,,0,0.9064341305754653,984.4024924241336
1000,50,35,0,-1,,0,0.9998180794223364,989.374165019019
1000,50,36,0,-1,,0,0.999999,983.2373599369032
1000,50,37,0,-1,,0,0.9987558293190103,987.4171210757551
1000,50,38,0,-1,,0,0.983032534664604,984.8860828990261
1000,50,39,0,-1,,0,0.9956546285416109,977.2897329904407
1000,50,40,1,359,2.1155,3,0.9995945312638965,973.4817343746482
1000,50,41,0,-1,,0,0.999999,974.418789564296
1000,50,42,0,-1,,0,0.9999456890607543,958.2589092388403
1000,50,43,0,-1,,0,0.9997508160216035,977.3474182069762
1000,50,44,0,-1,,0,0.9809376375033526,974.3590143727139
1000,50,45,0,-1,,0,0.9997281901386478,971.9516133292046
1000,50,46,0,-1,,0,0.6834405561138708,896.2003933621514
1000,50,47,0,-1,,0,0.999999,977.2756253225745
1000,50,48,0,-1,,0,0.969527436258527,964.6389708738541
1000,50,49,0,-1,,0,0.9998882099023559,977.2048335052517
1000,50,50,0,-1,,0,0.9971586472606323,970.6597417157851
1000,50,51,1,612,3.254,1,0.999999,981.1451101536151
1000,50,52,1,508,2.786,3,0.999999,991.389150504148
1000,50,53,0,-1,,0,0.9368136627170802,976.3063185439277
1000,50,54,0,-1,,0,0.9997883871060447,975.1010592344091
1000,50,55,0,-1,,0,0.999999,988.2519181432141
1000,50,56,0,-1,,0,0.999999,964.9061031416707
1000,50,57,0,-1,,0,0.9996146685535915,987.2992176680098
1000,50,58,0,-1,,0,0.999999,982.9385093150645
1000,50,59,0,-1,,0,0.9990305606321256,981.4529239002965
1000,50,60,0,-1,,0,0.999058428103788,984.9095918278864
1000,50,61,0,-1,,0,0.9998990332437374,987.7375242889249
1000,50,62,0,-1,,0,0.9999360540739485,982.514021578539
1000,50,63,0,-1,,0,0.999999,979.6814960514458
1000,50,64,0,-1,,0,0.960262775407118,990.7891047277827
1000,50,65,0,-1,,0,0.999999,961.14405227071
1000,50,66,0,-1,,0,0.9733295929139648,988.5841842122317
1000,50,67,1,453,2.5385,3,0.9999704537165363,976.3395082857156
