level,J,mult,seed_idx,collapsed,collapse_step,collapse_type,final_m,final_wealth,final_EC
L2,0.5,40,14,1,355,2,-0.3469133284691861,0.0,0.6999935943222667
L2,0.5,40,15,1,431,2,0.35171757072104204,0.0,0.09093592223356003
L2,0.5,40,16,1,330,3,-0.5202510130965137,0.0,0.09066036333489552
L2,0.5,40,17,1,371,2,-0.7830185084646698,0.0,0.06569613454274781
L2,0.5,40,18,1,402,2,-0.15156392966496327,0.0,0.23271160522493117
L2,0.5,40,19,1,561,3,-0.3173838122642847,0.0,0.17431885662359306
L2,0.5,40,20,1,363,3,0.14893657658108295,0.0,0.5761925755962372
L2,0.5,40,21,1,326,2,-0.6070273966603194,0.0,0.15844593081679342
L2,0.5,40,22,1,400,3,-0.14853850967750393,0.0,0.08045908002043053
L2,0.5,40,23,1,517,2,-0.08769779316609407,0.0,0.4023791462521592
L2,0.5,40,24,1,384,2,-0.6837850539231395,0.0,0.20166141585172817
L2,0.5,40,25,1,323,2,-0.3022376851639573,0.0,0.27462468584378913
L2,0.5,40,26,1,330,3,0.293672575738685,0.0,0.10032115349909637
L2,0.5,40,27,1,320,3,-0.2666384723819802,0.0,0.2634682115064984
L2,0.5,40,28,1,313,2,0.3780549830666394,0.0,0.7207257005888189
L2,0.5,40,29,1,700,2,0.11185403354685629,0.0,0.20505584509440117
L2,0.5,40,30,1,427,2,-0.4117730437628071,0.0,0.24091577690013816
L2,0.5,40,31,1,372,3,-0.3341899057687806,0.0,0.30097427812157346
L2,0.5,40,32,1,372,3,0.4113254508613591,0.0,0.30853469283733836
L2,0.5,40,33,1,383,2,0.5559310242638273,0.8921611258613247,0.07576495033975171
L2,0.5,40,34,1,662,3,-0.1577544342797193,0.0,0.16580304466143375
L2,0.5,40,35,1,404,2,0.5587660180232457,0.4015480347341477,0.08585794485392817
L2,0.5,40,36,1,359,2,0.09604826266923387,0.0,0.18328836764289833
L2,0.5,40,37,1,358,3,-0.08928839999536708,0.0,0.28240928740424104
L2,0.5,40,38,1,357,2,0.008847060301765351,0.0,0.8309159497219891
L2,0.5,40,39,1,447,2,0.5989391774183787,0.43821638268613267,0.48990211991654914
L2,0.5,40,40,1,493,2,0.6905097460484024,1.7859336117966778,0.15913947457382438
