J,mult,p_collapse,p_rigidity,p_fragmentation,p_mixed,mean_final_m,mean_final_wealth,mean_final_EC,mean_minsky_count
2.5,20,1.0,0.35,0.1,0.55,-0.02072118454561494,0.0,0.10423468566896223,0.75
2.5,30,1.0,0.4,0.13,0.47,0.07409028664954362,0.0,0.11330720437038413,0.82
2.5,40,1.0,0.35,0.1,0.55,-0.04755517962892584,6.454593399588351,0.10377666764432986,1.82
2.5,50,1.0,0.31,0.11,0.58,0.08979552116025348,116.57394238608512,0.10280256033630035,1.35
2.5,60,0.83,0.26,0.16,0.41,0.6806828132484217,660.8414664157419,0.08581964672658332,1.25
2.5,70,0.47,0.18,0.04,0.25,0.7914599470819027,1152.3421830461991,0.07958425642472416,1.1
2.5,80,0.4,0.14,0.04,0.22,0.7943033123320267,1603.7413653972203,0.0721583281455607,1.06
2.5,90,0.31,0.12,0.02,0.17,0.8447488904408721,2030.930132617217,0.07126260762864507,1.03
2.5,100,0.21,0.06,0.01,0.14,0.8315721275858882,2462.7882800551665,0.06815827952072497,1.04
3.0,20,1.0,0.57,0.02,0.41,0.11002885013335517,0.0,0.0944311768576262,0.78
3.0,30,1.0,0.54,0.03,0.43,-0.10090618963389847,0.0,0.0938088661848378,0.77
3.0,40,1.0,0.53,0.02,0.45,0.05501907422335346,20.608686143045553,0.08499737850675998,1.92
3.0,50,0.99,0.56,0.01,0.42,0.4096878586785336,288.921365603004,0.06601514583916866,1.4
3.0,60,0.67,0.32,0.02,0.33,0.7967260554958819,803.9254575297086,0.06825488465508317,1.19
3.0,70,0.49,0.25,0.03,0.21,0.852840016366988,1253.6305662732643,0.06313167702230714,1.1
3.0,80,0.37,0.21,0.03,0.13,0.8665021391432804,1711.1365680878655,0.07149661822827486,1.04
3.0,90,0.4,0.24,0.01,0.15,0.9163242658441173,2134.6071200682363,0.057786295079436556,1.07
3.0,100,0.46,0.32,0.0,0.14,0.9044145435580186,2556.050801512776,0.058448650952097544,1.03
3.5,20,1.0,0.68,0.03,0.29,0.06331568961364221,0.0,0.05992213494243776,0.75
3.5,30,1.0,0.72,0.02,0.26,0.020603634002225302,0.0,0.06791147653570268,0.74
3.5,40,1.0,0.71,0.05,0.24,0.08708300143874118,40.51142564431081,0.07301203802679167,1.91
3.5,50,0.89,0.52,0.03,0.34,0.4879248399233086,363.45055676806135,0.06494544797220547,1.39
