level,J,mult,seed_idx,collapsed,collapse_step,collapse_type,final_m,final_wealth,final_EC,minsky_count
L3,0.5,30,37,1,310,3,0.6535365770846543,0.0,0.07029505413818865,1
L3,0.5,30,38,1,316,2,-0.15125038585938314,0.0,0.29430534357975696,1
L3,0.5,30,39,1,308,2,-0.1902558147772816,0.0,0.1571453358234365,1
L3,0.5,30,40,1,308,3,0.26513445746586173,0.0,0.13315553202426664,1
L3,0.5,30,41,1,307,2,-0.05127163016887312,0.0,0.6521872560647818,1
L3,0.5,30,42,1,292,2,-0.1333208096069915,0.0,0.9632493227405503,1
L3,0.5,30,43,1,315,2,-0.2945271490556943,0.0,0.4589846288193532,1
L3,0.5,30,44,1,318,3,-0.726581968947036,0.0,0.08460063289323431,1
L3,0.5,30,45,1,309,2,0.46744460881160144,0.0,0.07663848256710186,1
L3,0.5,30,46,1,318,2,0.030497331802592703,0.0,0.47683134899528956,1
L3,0.5,30,47,1,305,3,-0.3276116427000956,0.0,0.1072678108594405,1
L3,0.5,30,48,1,316,3,0.6102849193842407,0.0,0.08409304849926344,1
L3,0.5,30,49,1,316,2,0.5311818789690794,0.0,0.5462650459545151,1
L3,0.5,30,50,1,316,2,-0.48532496194709196,0.0,0.07911842772776254,1
L3,0.5,30,51,1,314,3,0.24028572865782072,0.0,0.6975458519183619,1
L3,0.5,30,52,1,309,2,-0.13576234764873366,0.0,0.20210680763998282,1
L3,0.5,30,53,1,303,2,0.12410660419129976,0.0,0.852067412892108,1
L3,0.5,30,54,1,283,2,0.5489610203999633,0.0,0.854215311739436,1
L3,0.5,30,55,1,299,2,-0.8464287705568064,0.0,0.06073941514322479,1
L3,0.5,30,56,1,313,3,0.18327003755978633,0.0,0.5821154643806319,1
L3,0.5,30,57,1,292,2,-0.2482506681640469,0.0,0.7691696346441389,1
L3,0.5,30,58,1,311,3,-0.07267574517915543,0.0,0.49539792433694907,1
L3,0.5,30,59,1,308,2,-0.07782464773699466,0.0,0.3568268868178171,1
L3,0.5,30,60,1,311,3,-0.04871548553728455,0.0,0.277174062735119,1
L3,0.5,30,61,1,323,2,-0.18806259859571195,0.0,0.22607198268489723,1
L3,0.5,30,62,1,293,3,0.5001959600483883,0.0,0.11251663994218551,1
L3,0.5,30,63,1,317,2,0.06774163099988342,0.0,0.7673714905341106,1
L3,0.5,30,64,1,311,3,0.14091505226537596,0.0,0.5027051016717782,1
L3,0.5,30,65,1,304,3,-0.2641677415340509,0.0,0.7171069851059089,1
L3,0.5,30,66,1,314,3,0.07341155318400258,0.0,0.9204232972867772,1
L3,0.5,30,67,1,309,3,0.8426487685405017,0.0,0.061501163389677364,1
L3,0.5,30,68,1,317,2,0.11069429921444647,0.0,0.3249694361602209,1
L3,0.5,30,69,1,280,2,-0.3188435602473263,0.0,0.10730126999466776,0
L3,0.5,30,70,1,322,2,-0.24870037309053178,0.0,0.4989860264842147,1
L3,0.5,30,71,1,293,2,0.04510786527184446,0.0,0.30937691260113537,1
L3,0.5,30,72,1,324,2,-0.051299860039966866,0.0,0.2236892060453883,1
L3,0.5,30,73,1,315,2,-0.18559673185721884,0.0,0.10631970684133395,1
L3,0.5,30,74,1,286,3,-0.028102472973682624,0.0,0.16507022184341713,1
L3,0.5,30,75,1,315,2,-0.2411448273901686,0.0,0.2554668135744838,1
L3,0.5,30,76,1,320,2,0.1848727410733369,0.0,0.3001767543498916,1
L3,0.5,30,77,1,281,3,0.19147066726941353,0.0,0.7690782748164079,0
L3,0.5,30,78,1,311,3,0.21611503126354714,0.0,0.452829605392914,1
L3,0.5,30,79,1,306,2,-0.18617482626154674,0.0,0.2568031670278448,1
L3,0.5,30,80,1,270,2,0.33431402434186913,0.0,0.2817480053766576,0
L3,0.5,30,81,1,299,2,0.01925872590241147,0.0,0.22802853512610666,1
L3,0.5,30,82,1,300,3,0.583399245816706,0.0,0.08189645985969092,1
L3,0.5,30,83,1,318,2,-0.2729045361028008,0.0,0.10673583250554305,1
L3,0.5,30,84,1,303,2,0.20559539270955457,0.0,0.11433112565468419,1
L3,0.5,30,85,1,311,2,-0.12240171953014295,0.0,0.14684313679305022,1
L3,0.5,30,86,1,267,3,0.12180534778453965,0.0,0.22328398596877008,0
L3,0.5,30,87,1,310,2,-0.19675101382239044,0.0,0.21195131914723833,1
L3,0.5,30,88,1,318,3,0.2068973400825825,0.0,0.29026797333396653,1
L3,0.5,30,89,1,322,3,0.5760793919141868,0.0,0.7183050812535895,1
L3,0.5,30,90,1,313,2,0.0928254340708996,0.0,0.3336414737530479,1
L3,0.5,30,91,1,307,3,0.10562545372250433,0.0,0.9440109520299249,1
L3,0.5,30,92,1,321,3,0.6447887315698964,0.0,0.0749699483956843,1
L3,0.5,30,93,1,309,2,-0.11504676533536184,0.0,0.56546077997064,1
L3,0.5,30,94,1,309,3,-0.4898296408249291,0.0,0.5062890695604269,1
L3,0.5,30,95,1,317,3,-0.13283785927466216,0.0,0.15910352365302807,1
L3,0.5,30,96,1,296,2,0.07892029492775646,0.0,0.8402158538075317,1
L3,0.5,30,97,1,305,2,-0.3821522822411873,0.0,0.5822768483711991,1
L3,0.5,30,98,1,304,3,-0.24279935641734596,0.0,0.5635304737375525,1
L3,0.5,30,99,1,304,3,-0.0010535011412385366,0.0,0.34665763879659894,1
L3,0.5,40,0,1,381,2,0.11937857401414553,0.0,0.385469364568289,27
L3,0.5,40,1,1,333,2,-0.4543686114323282,0.0,0.1490287021443476,30
L3,0.5,40,2,1,575,3,0.18582029093545357,0.0,0.21194949421864262,26
L3,0.5,40,3,1,347,3,-0.3892166494185549,0.0,0.09397234195625445,21
L3,0.5,40,4,1,381,3,-0.05119340770649788,0.0,0.24462840591574703,27
L3,0.5,40,5,1,307,2,-0.7138829683188389,0.0,0.12208015724720007,23
L3,0.5,40,6,1,355,2,0.21022610468402003,0.0,0.19271261977661236,24
