schedule,mult,seed_idx,collapsed,collapse_step,collapse_J,collapse_type,final_m,final_wealth
linear,60,58,0,-1,,0,0.9997752529507252,1467.1449765198447
linear,60,59,0,-1,,0,0.999999,1485.7995838635748
linear,60,60,0,-1,,0,0.999999,1474.729848602192
linear,60,61,0,-1,,0,0.9997102784568395,1478.8476326781038
linear,60,62,0,-1,,0,0.999999,1486.1925178964402
linear,60,63,0,-1,,0,0.9632886933613488,1487.364613033924
linear,60,64,0,-1,,0,0.9998960793307625,1486.1427817024678
linear,60,65,0,-1,,0,0.973929043893861,1476.4233581982005
linear,60,66,0,-1,,0,0.9999931093285345,1475.5859652544798
linear,60,67,0,-1,,0,0.9999768131493516,1480.0101886712569
linear,60,68,0,-1,,0,0.9949952039693908,1477.9543976588022
linear,60,69,0,-1,,0,0.9964710360789917,1492.0411133525104
linear,60,70,0,-1,,0,0.999999,1472.5365030096455
linear,60,71,0,-1,,0,0.999999,1480.0882026681352
linear,60,72,0,-1,,0,0.899778475772022,1473.3018091037784
linear,60,73,0,-1,,0,0.999999,1476.5548137019048
linear,60,74,0,-1,,0,0.999999,1480.5055685658115
linear,60,75,0,-1,,0,0.9996680157903495,1479.2455291532622
linear,60,76,0,-1,,0,0.9990412843210924,1482.7090585509286
linear,60,77,0,-1,,0,0.9978330862634055,1483.0389321912721
linear,60,78,1,342,0.5513,2,0.999999,1491.547323594826
linear,60,79,0,-1,,0,0.999999,1460.7806175980654
linear,60,80,0,-1,,0,0.9999527186483574,1485.3399882621893
linear,60,81,0,-1,,0,0.9999772805835018,1468.9880189662113
linear,60,82,0,-1,,0,0.8721105169428492,1482.2071362321144
linear,60,83,0,-1,,0,0.9999264764671614,1479.6115188289766
linear,60,84,0,-1,,0,0.9498840723538602,1473.484479798845
linear,60,85,0,-1,,0,0.9989092859671808,1472.3675050197792
linear,60,86,0,-1,,0,0.999999,1483.5522380407394
linear,60,87,0,-1,,0,0.999999,1466.7438411544842
linear,60,88,0,-1,,0,0.9724289596209341,1482.9838552802464
linear,60,89,0,-1,,0,0.999999,1469.9165007519096
linear,60,90,0,-1,,0,0.999999,1438.7390722882405
linear,60,91,0,-1,,0,0.999999,1484.0760031958355
linear,60,92,0,-1,,0,0.9997856768150086,1481.1745082085238
linear,60,93,0,-1,,0,0.9999111828750453,1469.2327677450573
linear,60,94,0,-1,,0,0.999999,1468.2656766789592
linear,60,95,0,-1,,0,0.9959254930366861,1487.0329084391763
linear,60,96,0,-1,,0,0.998029073924768,1485.7223579534982
linear,60,97,0,-1,,0,0.8350039833528604,1473.3432159199592
linear,60,98,0,-1,,0,0.9999633178667823,1484.549635426719
linear,60,99,0,-1,,0,0.8954016254081111,1462.985158291655
linear,65,0,0,-1,,0,0.999999,1696.1013221673106
linear,65,1,0,-1,,0,0.9998379412434004,1736.4619104391022
linear,65,2,0,-1,,0,0.999999,1719.2208079084237
linear,65,3,0,-1,,0,0.999999,1720.3208851451805
linear,65,4,0,-1,,0,0.9993254718844268,1732.2678949050821
linear,65,5,0,-1,,0,0.999999,1735.6807253783268
linear,65,6,0,-1,,0,0.9970715030268129,1732.396064622705
linear,65,7,0,-1,,0,0.999999,1703.7051272716603
linear,65,8,0,-1,,0,0.999999,1721.5313830373418
linear,65,9,0,-1,,0,0.999999,1727.6170215832988
linear,65,10,0,-1,,0,0.999999,1720.2369966204474
linear,65,11,0,-1,,0,0.999999,1726.308432787527
linear,65,12,0,-1,,0,0.999999,1737.1116043057407
linear,65,13,0,-1,,0,0.7995734255647142,1723.0845761536827
linear,65,14,0,-1,,0,0.999999,1731.9161410467557
linear,65,15,0,-1,,0,0.9983622805969657,1734.397689660414
linear,65,16,0,-1,,0,0.9999208606341,1730.075491437403
linear,65,17,0,-1,,0,0.5932447113208428,1707.17777951766
linear,65,18,0,-1,,0,0.9686057944151106,1734.6399247367835
linear,65,19,0,-1,,0,0.9932798841258206,1732.518417740936
linear,65,20,0,-1,,0,0.999999,1731.1307456036127
linear,65,21,0,-1,,0,0.999999,1735.9668510597455
linear,65,22,0,-1,,0,0.9995693221452656,1732.2888293890762
linear,65,23,0,-1,,0,0.8764734367045087,1703.6110477558627
linear,65,24,0,-1,,0,0.9998814024622964,1736.298052359576
linear,65,25,0,-1,,0,0.997432877774909,1715.3248845497185
linear,65,26,0,-1,,0,0.9998110250433414,1727.882925984318
linear,65,27,0,-1,,0,0.999999,1738.2836151720082
linear,65,28,0,-1,,0,0.9943217531315801,1731.7575291342087
linear,65,29,0,-1,,0,0.9999516682277136,1735.710349430424
linear,65,30,0,-1,,0,0.9978888002468351,1732.7374160070194
linear,65,31,0,-1,,0,0.999999,1729.532518839895
linear,65,32,0,-1,,0,0.9210786515393655,1722.162668899749
linear,65,33,0,-1,,0,0.999999,1736.5501808043655
linear,65,34,0,-1,,0,0.9999861221688989,1736.0382262820708
linear,65,35,0,-1,,0,0.7784120786311183,1734.3820406011762
